crypto_alias,amount_buy,amount_sold,remaining_amount,crypto_name
bitcoin,0.00304089,0.0,0.00304089,BTC
book-of-meme,14873.0,0.0,14873.0,BOME
dogecoin,2003.8600000000001,0.0,2003.8600000000001,DOGE
dogs-2,321448.0,0.0,321448.0,DOGS
ethereum,0.1030607,0.0,0.1030607,ETH
jasmycoin,11765.890543630001,0.0,11765.890543630001,JASMY
not,39780.0,0.0,39780.0,NOT
pepe,93119281.0237,0.0,93119281.0237,PEPE
ripple,276.997456,0.0,276.997456,XRP
shiba-inu,15612802.46,0.0,15612802.46,SHIBA INU
solana,0.96180164,0.0,0.96180164,SOLANA
stellar,2170.5307219,0.0,2170.5307219,XLM
vechain,5599.15337801,0.0,5599.15337801,VET
